#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
HSA-114604	GPVI-mediated activation cascade	4	35	1.73	0.00016	9606.ENSP00000346671,9606.ENSP00000391592,9606.ENSP00000477713,9606.ENSP00000489597	FYN,PTPN6,LCK,PTPN11
HSA-167590	Nef Mediated CD4 Down-regulation	3	9	2.19	0.00020	9606.ENSP00000011653,9606.ENSP00000403362,9606.ENSP00000477713	CD4,AP2M1,LCK
HSA-1433557	Signaling by SCF-KIT	4	43	1.64	0.00029	9606.ENSP00000346671,9606.ENSP00000391592,9606.ENSP00000477713,9606.ENSP00000489597	FYN,PTPN6,LCK,PTPN11
HSA-512988	Interleukin-3, Interleukin-5 and GM-CSF signaling	4	48	1.59	0.00041	9606.ENSP00000226730,9606.ENSP00000346671,9606.ENSP00000391592,9606.ENSP00000489597	IL2,FYN,PTPN6,PTPN11
HSA-8878171	Transcriptional regulation by RUNX1	6	206	1.14	0.00048	9606.ENSP00000226730,9606.ENSP00000229135,9606.ENSP00000328207,9606.ENSP00000365380,9606.ENSP00000489597,9606.ENSP00000497102	IL2,IFNG,TNFRSF18,FOXP3,PTPN11,CTLA4
HSA-877312	Regulation of IFNG signaling	3	14	2.0	0.00050	9606.ENSP00000229135,9606.ENSP00000391592,9606.ENSP00000489597	IFNG,PTPN6,PTPN11
HSA-1433559	Regulation of KIT signaling	3	16	1.94	0.00069	9606.ENSP00000346671,9606.ENSP00000391592,9606.ENSP00000477713	FYN,PTPN6,LCK
HSA-1500931	Cell-Cell communication	5	129	1.26	0.00073	9606.ENSP00000252483,9606.ENSP00000346671,9606.ENSP00000391592,9606.ENSP00000402060,9606.ENSP00000489597	NECTIN2,FYN,PTPN6,PVR,PTPN11
HSA-164939	Nef mediated downregulation of CD28 cell surface expression	2	2	2.67	0.0019	9606.ENSP00000324890,9606.ENSP00000403362	CD28,AP2M1
HSA-9607240	FLT3 Signaling	3	38	1.57	0.0062	9606.ENSP00000346671,9606.ENSP00000477713,9606.ENSP00000489597	FYN,LCK,PTPN11
HSA-5663205	Infectious disease	9	917	0.66	0.0078	9606.ENSP00000011653,9606.ENSP00000324890,9606.ENSP00000335062,9606.ENSP00000346671,9606.ENSP00000391592,9606.ENSP00000403362,9606.ENSP00000412237,9606.ENSP00000477713,9606.ENSP00000489597	CD4,CD28,PDCD1,FYN,PTPN6,AP2M1,IL10,LCK,PTPN11
HSA-9706374	FLT3 signaling through SRC family kinases	2	6	2.19	0.0080	9606.ENSP00000346671,9606.ENSP00000477713	FYN,LCK
HSA-6783783	Interleukin-10 signaling	3	45	1.5	0.0089	9606.ENSP00000264246,9606.ENSP00000332049,9606.ENSP00000412237	CD80,CD86,IL10
HSA-420597	Nectin/Necl  trans heterodimerization	2	7	2.13	0.0095	9606.ENSP00000252483,9606.ENSP00000402060	NECTIN2,PVR
HSA-1643685	Disease	12	1702	0.52	0.0097	9606.ENSP00000011653,9606.ENSP00000264246,9606.ENSP00000319476,9606.ENSP00000324890,9606.ENSP00000332049,9606.ENSP00000335062,9606.ENSP00000346671,9606.ENSP00000391592,9606.ENSP00000403362,9606.ENSP00000412237,9606.ENSP00000477713,9606.ENSP00000489597	CD4,CD80,ICOS,CD28,CD86,PDCD1,FYN,PTPN6,AP2M1,IL10,LCK,PTPN11
HSA-198933	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	4	130	1.16	0.0106	9606.ENSP00000252483,9606.ENSP00000361359,9606.ENSP00000386559,9606.ENSP00000402060	NECTIN2,CD40,CD8A,PVR
HSA-164944	Nef and signal transduction	2	8	2.07	0.0110	9606.ENSP00000346671,9606.ENSP00000477713	FYN,LCK
HSA-9020558	Interleukin-2 signaling	2	12	1.89	0.0210	9606.ENSP00000226730,9606.ENSP00000477713	IL2,LCK
HSA-391160	Signal regulatory protein family interactions	2	15	1.8	0.0306	9606.ENSP00000391592,9606.ENSP00000489597	PTPN6,PTPN11
HSA-202430	Translocation of ZAP-70 to Immunological synapse	2	16	1.77	0.0336	9606.ENSP00000011653,9606.ENSP00000477713	CD4,LCK
HSA-432142	Platelet sensitization by LDL	2	17	1.74	0.0367	9606.ENSP00000391592,9606.ENSP00000489597	PTPN6,PTPN11
HSA-9006934	Signaling by Receptor Tyrosine Kinases	6	521	0.73	0.0396	9606.ENSP00000346671,9606.ENSP00000370989,9606.ENSP00000391592,9606.ENSP00000403362,9606.ENSP00000477713,9606.ENSP00000489597	FYN,CD274,PTPN6,AP2M1,LCK,PTPN11
HSA-202427	Phosphorylation of CD3 and TCR zeta chains	2	19	1.69	0.0430	9606.ENSP00000011653,9606.ENSP00000477713	CD4,LCK
HSA-9670439	Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutants	2	20	1.67	0.0463	9606.ENSP00000346671,9606.ENSP00000477713	FYN,LCK
HSA-9008059	Interleukin-37 signaling	2	21	1.65	0.0477	9606.ENSP00000391592,9606.ENSP00000489597	PTPN6,PTPN11
